zip,winred_donations,estimate,moe,per_capita_donations
20758,135,542,165,249.07749077490777
21851,1760,7072,556,248.86877828054298
20854,12131,49320,2280,245.96512570965126
21409,4980,20619,1066,241.52480721664486
20676,691,2897,580,238.52260959613395
21130,5,21,24,238.09523809523807
21093,9103,38961,1886,233.64390031056698
21028,651,2974,395,218.89710827168796
21668,399,1842,339,216.6123778501629
20637,1342,6221,626,215.72094518566146
21401,8690,40442,1625,214.8756243509223
21677,128,598,195,214.04682274247492
21771,6746,31653,2013,213.12355858844342
21628,76,360,183,211.11111111111111
21791,1011,4855,783,208.2389289392379
20782,7196,34625,1977,207.82671480144404
21014,7659,37097,1207,206.45874329460602
21536,814,3945,388,206.33713561470216
21051,23,113,95,203.53982300884957
21114,5108,25126,1537,203.29539122820984
21154,1432,7059,963,202.8615951267885
20678,2547,12874,846,197.84060897933819
21035,1619,8360,859,193.6602870813397
20617,122,630,283,193.65079365079364
20868,122,630,327,193.65079365079364
21655,911,4753,454,191.6684199452977
20667,30,159,180,188.67924528301887
21774,2844,15096,1015,188.39427662957075
21784,6982,37219,1401,187.59235874150298
21111,900,4838,659,186.02728400165358
20630,57,307,147,185.66775244299674
21826,1033,5569,94,185.49111151014543
21104,1121,6077,966,184.46601941747574
21666,2612,14193,955,184.03438314662156
20754,1336,7344,1018,181.91721132897604
21776,1147,6434,715,178.27168169101648
21057,803,4530,760,177.2626931567329
20818,316,1787,368,176.83268047006158
21532,2300,13229,662,173.86045808451132
21813,503,2927,541,171.84830884865048
21869,162,943,213,171.79215270413573
21636,140,824,272,169.90291262135923
20855,2795,16558,1460,168.8005797801667
20871,4612,27420,1984,168.19839533187456
21754,1220,7260,804,168.04407713498622
21798,453,2699,585,167.83994071878476
20759,1027,6125,667,167.6734693877551
21085,2769,16590,1310,166.90777576853526
21228,8380,50268,2299,166.70645340972388
21794,384,2309,465,166.30576006929408
20636,1831,11089,1415,165.11858598611238
21136,5753,35038,1566,164.19316171014327
21015,4943,30485,1828,162.14531736919795
21286,3403,21142,1217,160.95922807681393
20659,3755,23346,1541,160.84125760301552
21220,6821,42652,2196,159.9221607427553
21122,9814,61444,2461,159.72267430505826
20715,4184,26244,1068,159.42691662856274
21120,1165,7319,822,159.17475064899577
21160,432,2716,756,159.05743740795288
21742,5487,34549,1599,158.81791079336594
21009,5140,32565,2153,157.83816981421774
