zip,actblue_donations,estimate,moe,per_capita_donations
21077,85,105,110,809.5238095238095
20686,776,963,129,805.8151609553479
20722,4938,6218,528,794.1460276616276
21669,146,186,64,784.9462365591397
21403,25115,32207,1921,779.799422485795
21610,279,363,94,768.595041322314
20906,54095,71560,2542,755.9390721073224
21212,25556,33861,1974,754.7325832078202
21045,30660,40980,1625,748.1698389458272
21035,6200,8360,859,741.6267942583731
20904,41324,56532,2478,730.9842213259747
20905,12733,17451,1768,729.6430004011232
21865,284,393,173,722.64631043257
21762,127,176,184,721.590909090909
21650,222,308,172,720.7792207792207
20868,451,630,327,715.8730158730159
20733,1910,2669,658,715.6238291494942
21653,75,105,64,714.2857142857143
21046,11234,15894,943,706.8076003523342
20837,4684,6651,315,704.2549992482333
21105,28,40,63,700
21104,4210,6077,966,692.77604080961
20779,687,992,354,692.5403225806451
21218,31378,46548,1868,674.0998539142391
20715,17641,26244,1068,672.1917390641671
21601,15791,23589,768,669.4221883081098
21042,28455,42528,1902,669.0886004514672
21163,4816,7222,767,666.8512877319303
21082,459,694,258,661.3832853025937
20720,17274,26253,1812,657.9819449205805
20759,4003,6125,667,653.5510204081633
20855,10620,16558,1460,641.3818093972702
21678,1059,1685,317,628.486646884273
20853,19911,31794,2511,626.2502358935649
21032,5033,8040,1015,625.9950248756219
20878,41096,65954,1713,623.1009491463747
20765,376,604,255,622.5165562913907
20882,8651,13962,1090,619.6103710070191
21619,3573,5776,636,618.5941828254847
20832,15646,25488,1217,613.857501569366
21701,24907,40787,1700,610.6602593963762
21204,12273,20188,1071,607.9354071725778
21286,12808,21142,1217,605.8083435814966
20770,17073,28458,673,599.9367488931057
21208,21511,37319,1885,576.4087998070688
20833,4572,7949,1026,575.1666876336647
20607,6889,12080,1570,570.2814569536424
21093,22218,38961,1886,570.2625702625702
20872,7302,12932,953,564.6458397772966
20744,31497,55820,2945,564.2601218201362
21738,2133,3786,551,563.391442155309
20902,29875,53308,2181,560.4224506640655
20778,1436,2564,673,560.0624024960998
21005,1513,2703,540,559.7484276729559
20608,337,603,189,558.8723051409619
21036,1189,2145,385,554.3123543123543
21409,11407,20619,1066,553.2276056064794
20774,28133,51010,2662,551.5193099392276
21620,7513,13636,712,550.9680258140218
21071,287,526,276,545.6273764258555
21057,2464,4530,760,543.9293598233995
21231,7981,14780,1104,539.9864682002707
21228,26381,50268,2299,524.8070342961724
21661,1339,2571,314,520.8090237261765
20842,978,1927,340,507.5246497145822
21671,397,805,219,493.167701863354
21012,11344,23144,1689,490.14863463532663
20764,1593,3280,607,485.6707317073171
20763,1067,2219,748,480.8472284812979
21754,3459,7260,804,476.44628099173553
21737,1141,2406,638,474.2310889443059
20886,16207,34692,2228,467.168223221492
20772,24555,52596,2397,466.8605977640885
21717,97,209,158,464.11483253588517
20707,16759,36352,1204,461.0200264084507
20751,943,2081,396,453.14752522825563
20776,1344,2966,739,453.13553607552257
20712,4346,9630,483,451.2980269989616
21037,9471,21060,1490,449.7150997150997
20716,9976,22340,1189,446.5532676812892
21113,16279,36495,2114,446.06110426085763
21146,13148,29710,1689,442.5445977785257
20714,2108,4767,973,442.2068386826096
21043,20844,47309,2147,440.5926990636031
20781,5853,13299,1385,440.1082788179562
20674,355,807,389,439.9008674101611
21750,1588,3613,508,439.52394132300026
20617,274,630,283,434.92063492063494
20613,6436,14800,1062,434.86486486486484
20745,12754,29355,1871,434.4745358541986
20841,4010,9312,1013,430.62714776632305
21758,1923,4610,740,417.1366594360087
21612,232,557,279,416.51705565529625
21239,11716,28417,2114,412.28841890417704
21230,13266,32883,1938,403.4303439467202
21811,9781,24456,739,399.9427543343147
21755,2271,5706,642,398.0021030494217
20877,15286,38524,1975,396.7916104246703
20603,12854,32495,1906,395.5685490075396
21030,9939,25133,1745,395.4561731587952
21078,7808,19820,684,393.9455095862765
21117,23052,58516,2594,393.94353681044504
20732,4164,10676,625,390.03372049456726
20735,15308,39399,1539,388.5377801467042
20695,4407,11455,1481,384.7228284591881
21031,10,26,42,384.61538461538464
21131,2873,7722,710,372.05387205387206
21054,5833,15687,2248,371.83655255944416
20782,12863,34625,1977,371.4945848375451
20866,6180,16680,1762,370.50359712230215
21060,14209,38418,1871,369.85267322609195
21702,17174,46596,1984,368.57240964889695
21029,5070,13817,1531,366.93927770138237
21108,6603,18046,1493,365.89826000221655
20879,10054,27489,1961,365.7462985194078
20625,454,1248,404,363.78205128205127
20876,9660,26572,2086,363.54056902002105
21201,6643,18305,1566,362.90630975143404
20874,22381,61922,2470,361.4385840250638
20685,2422,6750,915,358.8148148148148
21797,3224,9034,775,356.8740314367944
21120,2596,7319,822,354.6932641071184
21001,9185,25908,1040,354.5236992434769
21841,349,988,309,353.2388663967611
21114,8848,25126,1537,352.1451882512139
21214,7525,21510,1718,349.8372849837285
21813,1012,2927,541,345.74649812094293
20723,12363,35845,1960,344.9016599246757
20740,12587,36583,785,344.06691632725585
20851,5030,14659,1086,343.1339109079746
21774,5176,15096,1015,342.87228404875464
20724,6276,18345,1551,342.1095666394113
21013,1809,5382,1023,336.12040133779266
20637,2083,6221,626,334.8336280340781
21130,7,21,24,333.3333333333333
21635,611,1836,373,332.78867102396515
21716,2201,6630,344,331.9758672699849
21628,119,360,183,330.55555555555554
21136,11483,35038,1566,327.7298932587476
20736,3030,9274,835,326.7198619797283
20677,666,2055,410,324.08759124087595
21915,792,2469,415,320.7776427703524
21144,11718,37041,2081,316.3521503199158
20871,8598,27420,1984,313.56673960612693
20705,8949,28660,1914,312.2470341939986
20758,169,542,165,311.8081180811808
21723,214,689,207,310.5950653120465
21056,98,318,225,308.1761006289308
21704,5672,18473,1181,307.0427109835977
21202,6148,20115,1216,305.6425553069849
21777,720,2360,443,305.08474576271186
21773,1692,5553,623,304.7001620745543
21140,1294,4255,790,304.11280846063454
21710,1509,4988,719,302.5260625501203
21769,3776,12562,852,300.58907817226554
21285,3,10,19,300
21561,752,2517,391,298.7683750496623
20620,393,1325,479,296.60377358490564
20748,12089,40763,2849,296.5679660476412
20658,288,978,213,294.47852760736197
